photo_url	image_number
https://pbs.twimg.com/media/EUWpaRDWAAAHamb.jpg	saude202003_n_00054_00000002.jpg
https://pbs.twimg.com/media/EUWiyrVXQAADroG.jpg	saude202003_n_00057_00000001.jpg
https://pbs.twimg.com/media/EUWiZpeXkAU9MuB.jpg	saude202003_n_00058_00000001.jpg
https://pbs.twimg.com/media/EUWgwUrWkAA9TXT.jpg	saude202003_n_00058_00000002.jpg
https://pbs.twimg.com/media/EUWgw45WoAIStIz.jpg	saude202003_n_00058_00000003.jpg
https://pbs.twimg.com/media/EUWgwoeXQAIjHtM.jpg	saude202003_n_00058_00000004.jpg
https://pbs.twimg.com/media/EUWgwLRXgAEpAYJ.jpg	saude202003_n_00058_00000005.jpg
https://pbs.twimg.com/media/EUWiQFtWAAAP4yL.jpg	saude202003_n_00058_00000006.jpg
https://pbs.twimg.com/media/EUWVTXuWAAAd6sS.jpg	saude202003_n_00063_00000001.jpg
https://pbs.twimg.com/media/EUVt8AyU0AASlao.jpg	saude202003_n_00069_00000001.jpg
https://pbs.twimg.com/media/EUVt8AxUcAAbUFW.jpg	saude202003_n_00069_00000002.jpg
https://pbs.twimg.com/media/EUVt8AyU8AIt5Wi.jpg	saude202003_n_00069_00000003.jpg
https://pbs.twimg.com/media/EUVt8A2U8AEbx8L.jpg	saude202003_n_00069_00000004.jpg
https://pbs.twimg.com/media/EUVMdzFXYAEcbw5.jpg	saude202003_n_00076_00000001.jpg
https://pbs.twimg.com/media/EUVDvlNWAAAVk-K.jpg	saude202003_n_00081_00000001.jpg
https://pbs.twimg.com/media/EUU7kKXX0AE14WY.jpg	saude202003_n_00085_00000001.jpg
https://pbs.twimg.com/media/EUU70NlX0AE_BKH.jpg	saude202003_n_00085_00000002.jpg
https://pbs.twimg.com/media/EUU73SRWAAAfVBF.jpg	saude202003_n_00085_00000003.jpg
https://pbs.twimg.com/media/EUU8CxvWkAAB93X.jpg	saude202003_n_00085_00000004.jpg
https://pbs.twimg.com/media/EUU46qgXQAIdYBN.jpg	saude202003_n_00085_00000005.jpg
https://pbs.twimg.com/media/EUU6CrYXkAIq9oW.jpg	saude202003_n_00086_00000001.jpg
https://pbs.twimg.com/media/EUU46qgXQAIdYBN.jpg	saude202003_n_00086_00000002.jpg
https://pbs.twimg.com/media/EUUswtnX0AAXG03.jpg	saude202003_n_00090_00000001.jpg
https://pbs.twimg.com/media/EUUswtoXsAAlKmU.jpg	saude202003_n_00090_00000002.jpg
https://pbs.twimg.com/media/EUUswtpXsAU6Ryj.jpg	saude202003_n_00090_00000003.jpg
https://pbs.twimg.com/media/EUUswtyWsAEaYEi.jpg	saude202003_n_00090_00000004.jpg
https://pbs.twimg.com/media/EUUkTc2XkAADgza.jpg	saude202003_n_00093_00000001.jpg
https://pbs.twimg.com/media/EUUkT05WAAAK1XV.jpg	saude202003_n_00093_00000002.jpg
https://pbs.twimg.com/media/EUUkULpXkAAlGpS.jpg	saude202003_n_00093_00000003.jpg
https://pbs.twimg.com/media/EUUkUnCWoAEXeKG.jpg	saude202003_n_00093_00000004.jpg
https://pbs.twimg.com/media/EUUi3sPWkAAkXIk.jpg	saude202003_n_00094_00000001.jpg
https://pbs.twimg.com/media/EURqaTPXQAE1QEb.jpg	saude202003_n_00094_00000002.jpg
https://pbs.twimg.com/media/EURqaTPXQAE1QEb.jpg	saude202003_n_00095_00000001.jpg
https://pbs.twimg.com/media/EUUe-7qXYAYKKM4.jpg	saude202003_n_00096_00000001.jpg
https://pbs.twimg.com/media/EUUcGCOWkAAjyM5.jpg	saude202003_n_00097_00000001.jpg
https://pbs.twimg.com/media/EUUbfC7XgAEWtim.jpg	saude202003_n_00098_00000001.jpg
https://pbs.twimg.com/media/EUUYgIMWoAAld1Q.jpg	saude202003_n_00098_00000002.jpg
https://pbs.twimg.com/media/EUUVM9WXgAAyhJs.png	saude202003_n_00100_00000001.png
https://pbs.twimg.com/media/EUUVM9WWoAU6dv1.png	saude202003_n_00100_00000002.png
https://pbs.twimg.com/media/EUUVM9bXYAcBEPm.jpg	saude202003_n_00100_00000003.jpg
https://pbs.twimg.com/media/EUUVM9XX0AENc-h.jpg	saude202003_n_00100_00000004.jpg
https://pbs.twimg.com/media/EUUWaPSXYAE-JRw.jpg	saude202003_n_00100_00000005.jpg
https://pbs.twimg.com/media/EUUWaPZWsAAEYgG.jpg	saude202003_n_00100_00000006.jpg
https://pbs.twimg.com/media/EUUWaSDXsAEBPUY.jpg	saude202003_n_00100_00000007.jpg
https://pbs.twimg.com/media/EUUT0wQXQAE7_ZK.jpg	saude202003_n_00102_00000001.jpg
https://pbs.twimg.com/media/EUUT1GwXkAAAW2u.jpg	saude202003_n_00102_00000002.jpg
https://pbs.twimg.com/media/EUUT1eXXkA0Jbxg.jpg	saude202003_n_00102_00000003.jpg
https://pbs.twimg.com/media/EUURaGUXgAE2S1A.jpg	saude202003_n_00103_00000001.jpg
https://pbs.twimg.com/media/EUUQG-qWAAQmohp.jpg	saude202003_n_00104_00000001.jpg
https://pbs.twimg.com/media/EUUQHKBWkAI3x9E.jpg	saude202003_n_00104_00000002.jpg
https://pbs.twimg.com/media/EUUQHzXXkAEgCir.jpg	saude202003_n_00104_00000003.jpg
https://pbs.twimg.com/media/EUUQIcTXkAQ64pI.jpg	saude202003_n_00104_00000004.jpg
https://pbs.twimg.com/media/EUUOH8QWAAEutoe.jpg	saude202003_n_00104_00000005.jpg
https://pbs.twimg.com/media/EUUOJZIXkAAMVNb.jpg	saude202003_n_00104_00000006.jpg
https://pbs.twimg.com/media/EUUOKXeWAAE3pLP.jpg	saude202003_n_00104_00000007.jpg
https://pbs.twimg.com/media/EUUOLjHWoAMuznZ.jpg	saude202003_n_00104_00000008.jpg
https://pbs.twimg.com/media/EUUQHELX0AE3IHb.jpg	saude202003_n_00104_00000009.jpg
https://pbs.twimg.com/media/EUUFLSQXYAIBnd3.jpg	saude202003_n_00108_00000001.jpg
https://pbs.twimg.com/media/EUT_W11XsAIwyv3.jpg	saude202003_n_00110_00000001.jpg
https://pbs.twimg.com/media/EUT_W1lXQAAt45O.jpg	saude202003_n_00110_00000002.jpg
https://pbs.twimg.com/media/EUT_W1jXgAEIKjn.jpg	saude202003_n_00110_00000003.jpg
https://pbs.twimg.com/media/EUT_W3PWkAU-L3x.jpg	saude202003_n_00110_00000004.jpg
https://pbs.twimg.com/media/EUTpo60XYAYI7mj.jpg	saude202003_n_00110_00000005.jpg
https://pbs.twimg.com/media/EUT9CVYXYAYUxVn.jpg	saude202003_n_00110_00000006.jpg
https://pbs.twimg.com/media/EUT9CoYWoAAdv1g.jpg	saude202003_n_00110_00000007.jpg
https://pbs.twimg.com/media/EUT9C_HXkAoShUR.jpg	saude202003_n_00110_00000008.jpg
https://pbs.twimg.com/media/EUT9DWQWAAYhmDK.jpg	saude202003_n_00110_00000009.jpg
https://pbs.twimg.com/media/EUTpo60XYAYI7mj.jpg	saude202003_n_00111_00000001.jpg
https://pbs.twimg.com/media/EUT7IjXWoAc5WQC.jpg	saude202003_n_00111_00000002.jpg
https://pbs.twimg.com/media/EUT35X2XQAYjrt2.jpg	saude202003_n_00111_00000003.jpg
https://pbs.twimg.com/media/EUT35X4WsAAG24a.jpg	saude202003_n_00111_00000004.jpg
https://pbs.twimg.com/media/EUT35YdWsAIUtcE.jpg	saude202003_n_00111_00000005.jpg
https://pbs.twimg.com/media/EUT35ZVWsAEakxl.jpg	saude202003_n_00111_00000006.jpg
https://pbs.twimg.com/media/EUT0qc7X0AIvPKZ.jpg	saude202003_n_00112_00000001.jpg
https://pbs.twimg.com/media/EUTxYA0WsAETU7k.jpg	saude202003_n_00113_00000001.jpg
https://pbs.twimg.com/media/EUTxYZbWsAEb4J-.jpg	saude202003_n_00113_00000002.jpg
https://pbs.twimg.com/media/EUTxYyBWkAcGpWk.jpg	saude202003_n_00113_00000003.jpg
https://pbs.twimg.com/media/EUTpo60XYAYI7mj.jpg	saude202003_n_00113_00000004.jpg
https://pbs.twimg.com/media/EUTuLaJWkAA715f.png	saude202003_n_00114_00000001.png
https://pbs.twimg.com/media/EUTtljSWkAc48na.png	saude202003_n_00114_00000002.png
https://pbs.twimg.com/media/EUTpo60XYAYI7mj.jpg	saude202003_n_00115_00000001.jpg
https://pbs.twimg.com/media/EUTpo60XYAYI7mj.jpg	saude202003_n_00116_00000001.jpg
https://pbs.twimg.com/media/EUTpb1aXsAANsgp.jpg	saude202003_n_00116_00000002.jpg
https://pbs.twimg.com/media/EUTncUHX0AA7U4K.jpg	saude202003_n_00116_00000003.jpg
https://pbs.twimg.com/media/EUTjGYfXsAU27P2.jpg	saude202003_n_00118_00000001.jpg
https://pbs.twimg.com/media/EUTf6qKX0AMK457.png	saude202003_n_00118_00000002.png
https://pbs.twimg.com/media/EUTbmoyXkAsurpx.jpg	saude202003_n_00120_00000001.jpg
